Component,Cumulative Explained Variance
281,0.9911738626991514
282,0.9913593754248075
283,0.9915374716962391
284,0.9917134622427866
285,0.9918878499363287
286,0.9920597725710429
287,0.992226327539359
288,0.9923921370652526
289,0.9925548348113685
290,0.9927129106355622
291,0.9928694101940321
292,0.9930232931168386
293,0.9931766183893498
294,0.9933241343773189
295,0.993468746083562
296,0.9936117662604664
297,0.9937511039828412
298,0.9938874580568261
299,0.9940217629857339
300,0.9941549459908767
301,0.9942846845075298
302,0.9944117889521563
303,0.9945376292462061
304,0.9946628072337506
305,0.994785103287917
306,0.994906346096069
307,0.9950264805388951
308,0.9951439825710532
309,0.9952592506757968
310,0.9953704928675466
311,0.9954806196678391
312,0.9955870755793699
313,0.99569299116798
314,0.9957971627642367
315,0.9958993705184054
316,0.9959989501279577
317,0.9960976424946568
318,0.9961917382729252
319,0.9962841169665353
320,0.9963751638668547
321,0.9964648765868402
322,0.9965525550588299
323,0.996638613569338
324,0.9967242041180351
325,0.996806326526682
326,0.9968873921904448
327,0.9969674670628548
328,0.9970455092117914
329,0.9971223066451754
330,0.997196839821701
331,0.9972705422065197
332,0.9973418608248394
333,0.9974120156281207
334,0.9974811664715575
335,0.9975471536596665
336,0.9976123829692626
337,0.997676612825437
338,0.9977395022930949
339,0.9978013321635345
340,0.9978613717115116
341,0.9979205248506492
342,0.9979775781001458
343,0.9980336375549609
344,0.9980889637911431
345,0.9981426900150469
346,0.9981952151467396
347,0.9982473845878618
348,0.9982991425417949
349,0.9983482684643442
350,0.9983959605247437
351,0.9984429042077555
352,0.9984885197595877
353,0.9985327537125287
354,0.9985766010420924
355,0.9986196197370363
356,0.998661642163845
357,0.9987024659056494
358,0.9987411775654708
359,0.9987793085065935
360,0.9988168061627245
361,0.9988538939945326
362,0.9988900846516885
363,0.9989245080610175
364,0.9989583628038168
365,0.9989915053744646
366,0.9990240247172723
367,0.9990564187413848
368,0.9990873725700776
369,0.9991180742714965
370,0.9991475662046408
371,0.9991769953522983
372,0.9992047057906547
373,0.9992321957645818
374,0.9992583475987232
375,0.9992841330464391
376,0.9993087990441015
377,0.999333118916883
378,0.9993568157663468
379,0.9993799911532317
380,0.9994028367023976
381,0.9994247362630979
382,0.999445426626656
383,0.9994654011691746
384,0.9994848279085528
385,0.9995040995364722
386,0.9995228619701613
387,0.9995403406785132
388,0.9995576669251655
389,0.9995745781664189
390,0.9995911171953227
391,0.9996069137717571
392,0.9996218346264744
393,0.9996362899988637
394,0.9996503752988353
395,0.9996639147447837
396,0.999677022729474
397,0.9996898035903252
398,0.9997021393065815
399,0.999714296353904
400,0.999725890241159
401,0.9997372806956779
402,0.9997482512220348
403,0.9997590120894607
404,0.9997693666406604
405,0.9997791625032797
406,0.9997887937987296
407,0.9997983053577942
408,0.9998072891327523
409,0.9998160877468836
410,0.9998241967038214
411,0.9998319541379119
412,0.9998395767013628
413,0.9998469930933024
414,0.9998541062628794
415,0.9998607423256063
416,0.9998672164487322
417,0.9998734990637438
418,0.9998794107615026
419,0.9998852683792467
420,0.9998907814162891
421,0.9998960221401606
422,0.9999010190032998
423,0.9999058788057231
424,0.9999105824866992
425,0.9999150838169935
426,0.9999195196253505
427,0.999923663032276
428,0.9999276286579233
429,0.9999314547885381
430,0.9999351102078444
431,0.9999385337316147
432,0.9999419157500243
433,0.9999451961720084
434,0.9999483631108377
435,0.9999513137098018
436,0.9999542253556436
437,0.9999570719343953
438,0.9999597703688335
439,0.9999623883487276
440,0.9999647498413378
441,0.9999670311469857
442,0.9999691728985713
443,0.9999712122443666
444,0.9999731755312301
445,0.9999750480561996
446,0.9999768417208313
447,0.9999785421209496
448,0.9999800658966098
449,0.9999814953502345
450,0.9999828611959494
451,0.9999842101856528
452,0.9999854353889487
453,0.9999865991122059
454,0.999987656755289
455,0.9999886707481482
456,0.9999896360372544
457,0.999990463156833
458,0.9999912851997967
459,0.9999920784948151
460,0.9999927977678841
461,0.9999934100795023
462,0.9999939748627624
463,0.9999945312848288
464,0.999994989124271
465,0.9999954139233538
466,0.9999958040745919
467,0.9999961580081633
468,0.9999965085297214
469,0.9999968184383429
470,0.999997110257755
471,0.9999973812059267
472,0.9999976458211141
473,0.9999978842251932
474,0.9999980786554964
475,0.9999982694583416
476,0.9999984571464056
477,0.9999986155375048
478,0.9999987560244435
479,0.9999988853333134
480,0.9999989986768555
481,0.9999991048701774
482,0.9999992010102903
483,0.999999288558048
484,0.9999993680226174
485,0.9999994400370741
486,0.9999994989393116
487,0.9999995540235983
488,0.9999996040305827
489,0.9999996525292647
490,0.9999996924932144
491,0.9999997312694899
492,0.9999997675263602
493,0.9999998031887698
494,0.9999998332613068
495,0.9999998595747119
496,0.9999998837833654
497,0.9999999071300434
498,0.9999999241392016
499,0.9999999376883978
500,0.9999999490888871
501,0.9999999592751524
502,0.999999966725783
503,0.9999999732147649
504,0.9999999784961341
505,0.9999999827681647
